Location,Location Name,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53021,Franklin County,US_WA021,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,234,291,552,833,1103,1136,1300
0500000US53021,Franklin County,US_WA021,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1806,1738,1914,2030,1899,1847,1798
0500000US53021,Franklin County,US_WA021,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,30,81,138,158,195,180,188
0500000US53021,Franklin County,US_WA021,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,39791,41395,42845,44034,45196,46266,47237,48212,48823,50042
0500000US53019,Ferry County,US_WA019,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,5756,5747,5688,5695,5734,5840,5209
0500000US53019,Ferry County,US_WA019,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,13,5,2,0,0,3,6
0500000US53019,Ferry County,US_WA019,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1189,1168,1078,1012,993,1047,1128
0500000US53019,Ferry County,US_WA019,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,10,61,72,77,52,34,13
0500000US53019,Ferry County,US_WA019,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,48,49,50,14,20,16,36
0500000US53019,Ferry County,US_WA019,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,241,250,262,305,312,323,345,350,361,76
0500000US53017,Douglas County,US_WA017,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,28870,28728,28735,28823,29002,28587,28118
0500000US53017,Douglas County,US_WA017,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,132,149,125,154,196,198,227
0500000US53017,Douglas County,US_WA017,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,441,390,357,323,299,408,449
0500000US53017,Douglas County,US_WA017,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,282,313,318,299,297,260,288
0500000US53017,Douglas County,US_WA017,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,18,55,32,85,112,138,138
0500000US53017,Douglas County,US_WA017,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,10820,11217,11537,11826,12172,12518,12917,13261,13518,13827
0500000US53015,Cowlitz County,US_WA015,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,91607,91906,92186,92726,93672,93473,93630
0500000US53015,Cowlitz County,US_WA015,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,593,605,784,806,832,1032,961
0500000US53015,Cowlitz County,US_WA015,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1052,1163,1232,1491,1576,1703,1613
0500000US53015,Cowlitz County,US_WA015,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1315,1259,1292,1249,1325,1214,1334
0500000US53015,Cowlitz County,US_WA015,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,181,294,219,306,217,312,277
0500000US53015,Cowlitz County,US_WA015,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,7846,8058,8177,8412,8502,8789,9112,9476,9869,10333
0500000US53013,Columbia County,US_WA013,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3600,3537,3582,3602,3530,3447,3340
0500000US53013,Columbia County,US_WA013,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,8,10,16,26,33,53,56
0500000US53013,Columbia County,US_WA013,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,21,21,20,0,6,9,7
0500000US53013,Columbia County,US_WA013,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,22,47,99,98,71,50,0
0500000US53013,Columbia County,US_WA013,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,37,29,30,38,42,0,0
0500000US53013,Columbia County,US_WA013,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,244,251,246,255,270,297,305,307,322,317
0500000US53011,Clark County,US_WA011,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,373331,378571,383426,389669,396802,396999,400784
0500000US53011,Clark County,US_WA011,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,8412,8302,8303,7661,8175,8472,8896
0500000US53011,Clark County,US_WA011,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2905,2644,2589,2618,2654,2618,2921
0500000US53011,Clark County,US_WA011,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,18764,19159,20546,20697,21609,22819,23316
0500000US53011,Clark County,US_WA011,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3289,3432,3160,3542,3670,3646,3632
0500000US53011,Clark County,US_WA011,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,31882,33538,35000,36942,38592,40704,42760,44891,47428,50784
0500000US53009,Clallam County,US_WA009,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,62806,63432,63592,64619,65167,65398,64418
0500000US53009,Clallam County,US_WA009,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,630,707,813,793,784,772,769
0500000US53009,Clallam County,US_WA009,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3358,3357,3301,3439,3619,3670,3095
0500000US53009,Clallam County,US_WA009,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1011,1067,1067,1092,1251,1074,1135
0500000US53009,Clallam County,US_WA009,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,39,39,46,47,21,26,17
0500000US53009,Clallam County,US_WA009,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,3416,3629,3833,4058,4210,4362,4588,4741,5086,5325
0500000US53007,Chelan County,US_WA007,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,66263,67105,66365,63909,60490,58043,56224
0500000US53007,Chelan County,US_WA007,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,293,333,333,350,483,310,323
0500000US53007,Chelan County,US_WA007,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,900,914,729,538,633,359,547
0500000US53007,Chelan County,US_WA007,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,581,670,740,814,601,624,616
0500000US53007,Chelan County,US_WA007,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,77,97,99,58,31,32,32
0500000US53007,Chelan County,US_WA007,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,18397,19004,19612,20052,20144,20403,20756,20948,21210,22119
0500000US53037,Kittitas County,US_WA037,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,35659,36364,37093,37901,38764,38761,35668
