Location,County,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53031,Jefferson County,US_WA031,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,12353,12209,12129,12032,11919,11933,12311
0500000US53031,Jefferson County,US_WA031,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,12422,13006,13527,14191,14642,15064,15550
0500000US53031,Jefferson County,US_WA031,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,7856,8225,8584,8943,9500,9981,10488,10970,11515,11948
0500000US53029,Island County,US_WA029,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,16016,15747,15418,15098,14925,14681,14796,14955,15073,15439
0500000US53029,Island County,US_WA029,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,4440,4465,4476,4531,4624,4604,4636
0500000US53029,Island County,US_WA029,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,10658,10460,10205,10265,10331,10469,10803
0500000US53029,Island County,US_WA029,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,15907,15621,15288,15001,14871,14619,14773,14933,15051,15419
0500000US53029,Island County,US_WA029,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,46547,46077,45735,45403,45282,45095,45590,45595,45907,46581
0500000US53029,Island County,US_WA029,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,15436,15763,15844,16447,16388,16671,16705
0500000US53029,Island County,US_WA029,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,29967,29519,29251,29143,29207,29236,29876
0500000US53029,Island County,US_WA029,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,22861,24053,24368,25253,26206,27240,27886
0500000US53029,Island County,US_WA029,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,14438,15102,15815,16600,17629,18044,18938,19667,20497,21021
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,15431,15176,14948,14767,14661,14667,14622,14531,14652,14985
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,4063,3977,3973,3926,3818,3776,3736
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,10704,10684,10694,10696,10713,10876,11249
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,15246,14977,14747,14591,14534,14588,14519,14433,14507,14837
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,42094,41846,41337,40834,40333,40060,39965,40090,39851,40114
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,13190,13032,12822,12863,12905,12966,12803
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,27644,27301,27238,27102,27185,26885,27311
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,17850,18178,19035,19728,20739,21782,22387
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,11650,11847,12249,12675,13026,13619,14265,14966,15649,15975
0500000US53025,Grant County,US_WA025,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,26805,27273,27643,27437,27589,27721,27994,27883,28262,28601
0500000US53025,Grant County,US_WA025,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,7825,7629,7529,7563,7517,7373,7237
0500000US53025,Grant County,US_WA025,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,19612,19960,20192,20431,20366,20889,21364
0500000US53025,Grant County,US_WA025,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,26605,27121,27559,27354,27532,27670,27934,27842,28226,28579
0500000US53025,Grant County,US_WA025,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,50478,51166,51891,52312,52573,52948,53677,54010,54315,55045
0500000US53025,Grant County,US_WA025,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,20712,20955,21155,21662,21800,22002,22112
0500000US53025,Grant County,US_WA025,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,31600,31618,31793,32015,32210,32313,32933
0500000US53025,Grant County,US_WA025,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,16085,16369,16925,17481,17809,18382,18590
0500000US53025,Grant County,US_WA025,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,10432,10645,10917,11179,11387,11800,12283,12649,13237,13352
0500000US53023,Garfield County,US_WA023,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,382,401,455,492,540,510,529,533,449,436
0500000US53023,Garfield County,US_WA023,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,147,166,140,138,110,87,85
0500000US53023,Garfield County,US_WA023,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,345,374,370,391,423,362,351
0500000US53023,Garfield County,US_WA023,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,382,401,455,492,540,510,529,533,449,436
0500000US53023,Garfield County,US_WA023,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,1280,1285,1264,1218,1190,1201,1211,1144,1210,1199
0500000US53023,Garfield County,US_WA023,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,251,276,306,343,315,378,317
0500000US53023,Garfield County,US_WA023,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,967,914,895,868,829,832,882
0500000US53023,Garfield County,US_WA023,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,717,681,706,691,732,828,889
0500000US53023,Garfield County,US_WA023,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,536,519,482,490,476,492,461,529,575,618
0500000US53021,Franklin County,US_WA021,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,26620,27482,28205,28673,29112,29277,29471,29734,29664,30059
0500000US53021,Franklin County,US_WA021,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,8664,8484,8258,8152,8132,8112,8015
0500000US53021,Franklin County,US_WA021,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,20009,20628,21019,21319,21602,21552,22044
